Date,Description,Amount,Type,Category
2024-01-10,Spotify Premium,349.08,DEBIT,Entertainment
2024-01-10,More Supermarket,449.83,DEBIT,Groceries
2024-01-10,Nature's Basket,497.88,DEBIT,Groceries
2024-01-10,Nature's Basket,376.34,DEBIT,Groceries
2024-01-10,Indian Oil fuel,135.17,DEBIT,Transport
2024-01-10,MSEB electricity bill,766.76,DEBIT,Utilities
2024-01-10,MSEB electricity bill,411.84,DEBIT,Utilities
2024-01-11,Nature's Basket,422.80,DEBIT,Groceries
2024-01-11,Myntra order,460.55,DEBIT,Shopping
2024-01-11,Swiggy order,499.66,DEBIT,Take-out
2024-01-11,Behrouz Biryani,508.28,DEBIT,Take-out
2024-01-11,Cafe Coffee Day,240.54,DEBIT,Take-out
2024-01-11,Ola Cabs,263.63,DEBIT,Transport
2024-01-11,Ola Cabs,201.59,DEBIT,Transport
2024-01-11,Indian Oil fuel,312.22,DEBIT,Transport
2024-01-11,Jio postpaid bill,1021.05,DEBIT,Utilities
2024-01-12,DMart Andheri West,93.54,DEBIT,Groceries
2024-01-12,Reliance Fresh,297.66,DEBIT,Groceries
2024-01-12,BigBasket order,849.44,DEBIT,Groceries
2024-01-12,Amazon.in order,1312.25,DEBIT,Shopping
2024-01-12,Decathlon Powai,474.37,DEBIT,Shopping
2024-01-12,Cafe Coffee Day,269.21,DEBIT,Take-out
2024-01-12,Cafe Coffee Day,394.11,DEBIT,Take-out
2024-01-12,CityFlo monthly pass,322.36,DEBIT,Transport
2024-01-12,Airtel Fibre broadband,260.91,DEBIT,Utilities
2024-01-13,Spotify Premium,252.68,DEBIT,Entertainment
2024-01-13,BigBasket order,991.31,DEBIT,Groceries
2024-01-13,Behrouz Biryani,460.51,DEBIT,Take-out
2024-01-13,Starbucks Powai,208.91,DEBIT,Take-out
2024-01-13,Swiggy order,297.13,DEBIT,Take-out
2024-01-13,Mumbai Metro recharge,231.86,DEBIT,Transport
2024-01-13,HP Petrol Pump,312.41,DEBIT,Transport
2024-01-13,Mumbai Metro recharge,289.92,DEBIT,Transport
2024-01-13,Uber ride,253.87,DEBIT,Transport
2024-01-14,Netflix subscription,236.37,DEBIT,Entertainment
2024-01-14,Reliance Fresh,265.91,DEBIT,Groceries
2024-01-14,BigBasket order,867.49,DEBIT,Groceries
2024-01-14,More Supermarket,251.87,DEBIT,Groceries
2024-01-14,Fresh Fruits & Veg Co.,901.40,DEBIT,Groceries
2024-01-14,Reliance Fresh,799.11,DEBIT,Groceries
2024-01-14,Decathlon Powai,511.79,DEBIT,Shopping
2024-01-14,Cafe Coffee Day,194.70,DEBIT,Take-out
2024-01-14,Mahanagar Gas bill,483.10,DEBIT,Utilities
2024-01-15,Myntra order,660.40,DEBIT,Shopping
2024-01-15,Decathlon Powai,2125.63,DEBIT,Shopping
2024-01-15,Behrouz Biryani,128.48,DEBIT,Take-out
2024-01-15,Behrouz Biryani,85.76,DEBIT,Take-out
2024-01-15,Mumbai Metro recharge,310.16,DEBIT,Transport
2024-01-15,Mahanagar Gas bill,617.84,DEBIT,Utilities
2024-01-16,More Supermarket,262.10,DEBIT,Groceries
2024-01-16,Fresh Fruits & Veg Co.,716.94,DEBIT,Groceries
2024-01-16,Ola Cabs,225.02,DEBIT,Transport
2024-01-16,Ola Cabs,268.28,DEBIT,Transport
2024-01-16,MSEB electricity bill,593.50,DEBIT,Utilities
2024-01-17,Nature's Basket,341.37,DEBIT,Groceries
2024-01-17,Reliance Fresh,717.21,DEBIT,Groceries
2024-01-17,BigBasket order,363.68,DEBIT,Groceries
2024-01-17,Dominos Pizza,213.47,DEBIT,Take-out
2024-01-17,Swiggy order,266.99,DEBIT,Take-out
2024-01-17,Indian Oil fuel,210.02,DEBIT,Transport
2024-01-17,Mumbai Metro recharge,313.54,DEBIT,Transport
2024-01-18,Steam games purchase,302.08,DEBIT,Entertainment
2024-01-18,Spotify Premium,543.91,DEBIT,Entertainment
2024-01-18,Fresh Fruits & Veg Co.,591.57,DEBIT,Groceries
2024-01-18,Croma Electronics,2290.69,DEBIT,Shopping
2024-01-18,Swiggy order,171.81,DEBIT,Take-out
2024-01-18,HP Petrol Pump,230.55,DEBIT,Transport
2024-01-18,Airtel Fibre broadband,658.23,DEBIT,Utilities
2024-01-19,More Supermarket,1060.89,DEBIT,Groceries
2024-01-19,Amazon.in order,688.86,DEBIT,Shopping
2024-01-19,Myntra order,1435.46,DEBIT,Shopping
2024-01-19,IKEA Navi Mumbai,1406.09,DEBIT,Shopping
2024-01-19,Swiggy order,219.75,DEBIT,Take-out
2024-01-19,Uber ride,399.93,DEBIT,Transport
2024-01-20,BigBasket order,537.64,DEBIT,Groceries
2024-01-20,IKEA Navi Mumbai,640.70,DEBIT,Shopping
2024-01-20,Dominos Pizza,147.53,DEBIT,Take-out
2024-01-20,Indian Oil fuel,136.41,DEBIT,Transport
2024-01-20,HP Petrol Pump,116.95,DEBIT,Transport
2024-01-20,Mahanagar Gas bill,442.46,DEBIT,Utilities
2024-01-21,Spotify Premium,627.81,DEBIT,Entertainment
2024-01-21,BookMyShow tickets,508.55,DEBIT,Entertainment
2024-01-21,More Supermarket,336.66,DEBIT,Groceries
2024-01-21,More Supermarket,793.57,DEBIT,Groceries
2024-01-21,BigBasket order,650.94,DEBIT,Groceries
2024-01-21,Decathlon Powai,1467.02,DEBIT,Shopping
2024-01-21,Zomato order,201.74,DEBIT,Take-out
2024-01-21,Uber ride,345.16,DEBIT,Transport
2024-01-21,Mumbai Metro recharge,245.02,DEBIT,Transport
2024-01-22,BigBasket order,846.52,DEBIT,Groceries
2024-01-22,Nature's Basket,470.27,DEBIT,Groceries
2024-01-22,Flipkart order,2363.41,DEBIT,Shopping
2024-01-22,Swiggy order,261.75,DEBIT,Take-out
2024-01-22,Cafe Coffee Day,258.43,DEBIT,Take-out
2024-01-22,Swiggy order,467.69,DEBIT,Take-out
2024-01-22,HP Petrol Pump,163.68,DEBIT,Transport
2024-01-23,Steam games purchase,306.53,DEBIT,Entertainment
2024-01-23,Steam games purchase,217.50,DEBIT,Entertainment
2024-01-23,DMart Andheri West,286.35,DEBIT,Groceries
2024-01-23,DMart Andheri West,420.68,DEBIT,Groceries
2024-01-23,More Supermarket,768.60,DEBIT,Groceries
2024-01-23,Reliance Fresh,320.46,DEBIT,Groceries
2024-01-23,Starbucks Powai,297.50,DEBIT,Take-out
2024-01-23,Cafe Coffee Day,286.53,DEBIT,Take-out
2024-01-23,Ola Cabs,301.14,DEBIT,Transport
2024-01-24,Nature's Basket,491.97,DEBIT,Groceries
2024-01-24,DMart Andheri West,442.57,DEBIT,Groceries
2024-01-24,Cafe Coffee Day,102.69,DEBIT,Take-out
2024-01-24,Swiggy order,196.45,DEBIT,Take-out
2024-01-24,CityFlo monthly pass,272.51,DEBIT,Transport
2024-01-24,MSEB electricity bill,297.65,DEBIT,Utilities
2024-01-25,Amazon.in order,1410.95,DEBIT,Shopping
2024-01-25,IKEA Navi Mumbai,1650.24,DEBIT,Shopping
2024-01-25,Swiggy order,409.33,DEBIT,Take-out
2024-01-25,Dominos Pizza,418.70,DEBIT,Take-out
2024-01-25,MSEB electricity bill,280.16,DEBIT,Utilities
2024-01-25,Airtel Fibre broadband,610.23,DEBIT,Utilities
2024-01-26,PVR Cinemas,327.29,DEBIT,Entertainment
2024-01-26,PVR Cinemas,213.19,DEBIT,Entertainment
2024-01-26,Croma Electronics,1669.25,DEBIT,Shopping
2024-01-26,Starbucks Powai,290.77,DEBIT,Take-out
2024-01-26,Cafe Coffee Day,591.27,DEBIT,Take-out
2024-01-26,Airtel Fibre broadband,702.45,DEBIT,Utilities
2024-01-26,Mahanagar Gas bill,482.16,DEBIT,Utilities
2024-01-27,Nature's Basket,149.65,DEBIT,Groceries
2024-01-27,Reliance Fresh,265.49,DEBIT,Groceries
2024-01-27,Nature's Basket,205.59,DEBIT,Groceries
2024-01-27,Croma Electronics,1296.59,DEBIT,Shopping
2024-01-27,Swiggy order,366.20,DEBIT,Take-out
2024-01-27,Dominos Pizza,220.64,DEBIT,Take-out
2024-01-28,PVR Cinemas,376.67,DEBIT,Entertainment
2024-01-28,Nature's Basket,312.29,DEBIT,Groceries
2024-01-28,Fresh Fruits & Veg Co.,878.68,DEBIT,Groceries
2024-01-28,Decathlon Powai,425.32,DEBIT,Shopping
2024-01-28,Croma Electronics,1550.12,DEBIT,Shopping
2024-01-28,CityFlo monthly pass,309.10,DEBIT,Transport
2024-01-28,Mumbai Metro recharge,422.17,DEBIT,Transport
2024-01-28,Jio postpaid bill,484.13,DEBIT,Utilities
2024-01-28,Mahanagar Gas bill,804.41,DEBIT,Utilities
2024-01-29,Dominos Pizza,457.64,DEBIT,Take-out
2024-01-29,Cafe Coffee Day,497.43,DEBIT,Take-out
2024-01-29,Behrouz Biryani,183.19,DEBIT,Take-out
2024-01-29,Cafe Coffee Day,169.13,DEBIT,Take-out
2024-01-29,Mumbai Metro recharge,135.77,DEBIT,Transport
2024-01-29,MSEB electricity bill,601.09,DEBIT,Utilities
2024-01-29,Airtel Fibre broadband,489.55,DEBIT,Utilities
2024-01-29,MSEB electricity bill,241.43,DEBIT,Utilities
2024-01-30,BigBasket order,444.14,DEBIT,Groceries
2024-01-30,More Supermarket,620.22,DEBIT,Groceries
2024-01-30,Nature's Basket,592.98,DEBIT,Groceries
2024-01-30,Amazon.in order,937.10,DEBIT,Shopping
2024-01-30,Zomato order,76.12,DEBIT,Take-out
2024-01-30,Behrouz Biryani,251.56,DEBIT,Take-out
2024-01-31,Reliance Fresh,785.21,DEBIT,Groceries
2024-01-31,Salary credited from Cyphersol Technologies,172000.00,CREDIT,Salary
2024-01-31,Myntra order,597.96,DEBIT,Shopping
2024-01-31,Cafe Coffee Day,149.77,DEBIT,Take-out
2024-01-31,Cafe Coffee Day,422.10,DEBIT,Take-out
2024-01-31,Cafe Coffee Day,348.52,DEBIT,Take-out
2024-01-31,Mumbai Metro recharge,372.49,DEBIT,Transport
2024-01-31,MSEB electricity bill,754.11,DEBIT,Utilities
2024-02-01,DMart Andheri West,617.68,DEBIT,Groceries
2024-02-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2024-02-01,Swiggy order,140.92,DEBIT,Take-out
2024-02-01,Mumbai Metro recharge,258.43,DEBIT,Transport
2024-02-01,Ola Cabs,384.82,DEBIT,Transport
2024-02-01,Indian Oil fuel,226.70,DEBIT,Transport
2024-02-02,More Supermarket,238.47,DEBIT,Groceries
2024-02-02,Nature's Basket,544.82,DEBIT,Groceries
2024-02-02,Reliance Fresh,777.68,DEBIT,Groceries
2024-02-02,Cafe Coffee Day,195.17,DEBIT,Take-out
2024-02-02,Cafe Coffee Day,464.77,DEBIT,Take-out
2024-02-03,Netflix subscription,288.82,DEBIT,Entertainment
2024-02-03,Nature's Basket,375.20,DEBIT,Groceries
2024-02-03,Reliance Fresh,489.45,DEBIT,Groceries
2024-02-03,Decathlon Powai,668.29,DEBIT,Shopping
2024-02-03,Behrouz Biryani,206.79,DEBIT,Take-out
2024-02-03,Mumbai Metro recharge,158.51,DEBIT,Transport
2024-02-03,Mumbai Metro recharge,175.33,DEBIT,Transport
2024-02-03,CityFlo monthly pass,241.75,DEBIT,Transport
2024-02-03,Jio postpaid bill,619.32,DEBIT,Utilities
2024-02-04,Reliance Fresh,421.17,DEBIT,Groceries
2024-02-04,DMart Andheri West,313.20,DEBIT,Groceries
2024-02-04,Behrouz Biryani,454.19,DEBIT,Take-out
2024-02-04,Behrouz Biryani,288.33,DEBIT,Take-out
2024-02-04,MSEB electricity bill,629.09,DEBIT,Utilities
2024-02-05,BigBasket order,359.77,DEBIT,Groceries
2024-02-05,More Supermarket,410.79,DEBIT,Groceries
2024-02-05,DMart Andheri West,855.08,DEBIT,Groceries
2024-02-05,Reliance Fresh,995.70,DEBIT,Groceries
2024-02-05,HDFC Home Loan EMI,12500.00,DEBIT,Loan-Payments
2024-02-05,HP Petrol Pump,311.28,DEBIT,Transport
2024-02-05,Mahanagar Gas bill,664.05,DEBIT,Utilities
2024-02-06,BigBasket order,749.51,DEBIT,Groceries
2024-02-06,Flipkart order,1443.32,DEBIT,Shopping
2024-02-06,Dominos Pizza,335.53,DEBIT,Take-out
2024-02-06,HP Petrol Pump,345.58,DEBIT,Transport
2024-02-06,CityFlo monthly pass,181.02,DEBIT,Transport
2024-02-06,HP Petrol Pump,315.83,DEBIT,Transport
2024-02-06,Uber ride,293.19,DEBIT,Transport
2024-02-06,Airtel Fibre broadband,702.01,DEBIT,Utilities
2024-02-06,Jio postpaid bill,448.46,DEBIT,Utilities
2024-02-07,BigBasket order,1040.90,DEBIT,Groceries
2024-02-07,Reliance Fresh,626.15,DEBIT,Groceries
2024-02-07,Credit Card bill payment,6800.00,DEBIT,Loan-Payments
2024-02-07,Behrouz Biryani,382.54,DEBIT,Take-out
2024-02-07,Behrouz Biryani,200.60,DEBIT,Take-out
2024-02-07,Mumbai Metro recharge,369.69,DEBIT,Transport
2024-02-07,Jio postpaid bill,911.29,DEBIT,Utilities
2024-02-07,Mahanagar Gas bill,363.24,DEBIT,Utilities
2024-02-07,Jio postpaid bill,545.90,DEBIT,Utilities
2024-02-08,BookMyShow tickets,486.22,DEBIT,Entertainment
2024-02-08,More Supermarket,383.60,DEBIT,Groceries
2024-02-08,Flipkart order,2341.05,DEBIT,Shopping
2024-02-08,Mahanagar Gas bill,694.29,DEBIT,Utilities
2024-02-08,Mahanagar Gas bill,539.49,DEBIT,Utilities
2024-02-09,DMart Andheri West,452.50,DEBIT,Groceries
2024-02-09,DMart Andheri West,886.73,DEBIT,Groceries
2024-02-09,DMart Andheri West,665.95,DEBIT,Groceries
2024-02-09,DMart Andheri West,431.51,DEBIT,Groceries
2024-02-09,Fresh Fruits & Veg Co.,903.82,DEBIT,Groceries
2024-02-09,Starbucks Powai,299.73,DEBIT,Take-out
2024-02-09,Mahanagar Gas bill,210.63,DEBIT,Utilities
2024-02-10,BigBasket order,795.81,DEBIT,Groceries
2024-02-10,DMart Andheri West,355.04,DEBIT,Groceries
2024-02-10,More Supermarket,362.93,DEBIT,Groceries
2024-02-10,Flipkart order,1261.07,DEBIT,Shopping
2024-02-10,Dominos Pizza,448.79,DEBIT,Take-out
2024-02-10,Swiggy order,256.41,DEBIT,Take-out
2024-02-10,Indian Oil fuel,184.72,DEBIT,Transport
2024-02-10,Ola Cabs,203.00,DEBIT,Transport
2024-02-11,Spotify Premium,198.75,DEBIT,Entertainment
2024-02-11,Reliance Fresh,303.36,DEBIT,Groceries
2024-02-11,BigBasket order,252.22,DEBIT,Groceries
2024-02-11,DMart Andheri West,960.32,DEBIT,Groceries
2024-02-11,Reliance Fresh,531.29,DEBIT,Groceries
2024-02-11,Starbucks Powai,612.10,DEBIT,Take-out
2024-02-11,Ola Cabs,153.21,DEBIT,Transport
2024-02-11,Jio postpaid bill,341.36,DEBIT,Utilities
2024-02-11,Mahanagar Gas bill,545.21,DEBIT,Utilities
2024-02-12,Reliance Fresh,421.73,DEBIT,Groceries
2024-02-12,Nature's Basket,518.28,DEBIT,Groceries
2024-02-12,Cafe Coffee Day,415.47,DEBIT,Take-out
2024-02-12,Behrouz Biryani,490.08,DEBIT,Take-out
2024-02-12,Dominos Pizza,158.77,DEBIT,Take-out
2024-02-12,Water tax payment,688.89,DEBIT,Utilities
2024-02-13,Netflix subscription,146.92,DEBIT,Entertainment
2024-02-13,More Supermarket,471.99,DEBIT,Groceries
2024-02-13,More Supermarket,387.69,DEBIT,Groceries
2024-02-13,Myntra order,713.51,DEBIT,Shopping
2024-02-13,Cafe Coffee Day,528.19,DEBIT,Take-out
2024-02-13,Airtel Fibre broadband,560.80,DEBIT,Utilities
2024-02-14,Fresh Fruits & Veg Co.,192.80,DEBIT,Groceries
2024-02-14,Fresh Fruits & Veg Co.,561.81,DEBIT,Groceries
2024-02-14,More Supermarket,387.53,DEBIT,Groceries
2024-02-14,IKEA Navi Mumbai,778.45,DEBIT,Shopping
2024-02-14,Swiggy order,259.21,DEBIT,Take-out
2024-02-14,Starbucks Powai,309.96,DEBIT,Take-out
2024-02-14,Uber ride,102.17,DEBIT,Transport
2024-02-14,Airtel Fibre broadband,714.65,DEBIT,Utilities
2024-02-15,Nature's Basket,575.15,DEBIT,Groceries
2024-02-15,Decathlon Powai,1008.51,DEBIT,Shopping
2024-02-15,Dominos Pizza,190.48,DEBIT,Take-out
2024-02-15,Uber ride,219.40,DEBIT,Transport
2024-02-15,Ola Cabs,263.58,DEBIT,Transport
2024-02-15,Airtel Fibre broadband,503.51,DEBIT,Utilities
2024-02-15,MSEB electricity bill,656.02,DEBIT,Utilities
2024-02-15,Airtel Fibre broadband,466.23,DEBIT,Utilities
2024-02-15,MSEB electricity bill,223.61,DEBIT,Utilities
2024-02-16,More Supermarket,948.89,DEBIT,Groceries
2024-02-16,Fresh Fruits & Veg Co.,155.42,DEBIT,Groceries
2024-02-16,DMart Andheri West,789.20,DEBIT,Groceries
2024-02-16,BigBasket order,380.54,DEBIT,Groceries
2024-02-16,Amazon.in order,1252.42,DEBIT,Shopping
2024-02-16,Dominos Pizza,200.82,DEBIT,Take-out
2024-02-16,Water tax payment,358.61,DEBIT,Utilities
2024-02-17,Reliance Fresh,456.31,DEBIT,Groceries
2024-02-17,Swiggy order,235.67,DEBIT,Take-out
2024-02-17,Starbucks Powai,211.80,DEBIT,Take-out
2024-02-17,Cafe Coffee Day,449.61,DEBIT,Take-out
2024-02-17,Indian Oil fuel,283.95,DEBIT,Transport
2024-02-18,Steam games purchase,358.46,DEBIT,Entertainment
2024-02-18,Decathlon Powai,1261.24,DEBIT,Shopping
2024-02-18,Flipkart order,1359.05,DEBIT,Shopping
2024-02-18,Behrouz Biryani,404.84,DEBIT,Take-out
2024-02-18,Swiggy order,435.78,DEBIT,Take-out
2024-02-18,Mumbai Metro recharge,140.41,DEBIT,Transport
2024-02-18,CityFlo monthly pass,440.28,DEBIT,Transport
2024-02-18,MSEB electricity bill,343.73,DEBIT,Utilities
2024-02-18,Airtel Fibre broadband,278.31,DEBIT,Utilities
2024-02-19,IKEA Navi Mumbai,952.81,DEBIT,Shopping
2024-02-19,Cafe Coffee Day,421.25,DEBIT,Take-out
2024-02-19,Swiggy order,399.74,DEBIT,Take-out
2024-02-19,CityFlo monthly pass,185.28,DEBIT,Transport
2024-02-19,CityFlo monthly pass,110.19,DEBIT,Transport
2024-02-20,BigBasket order,780.94,DEBIT,Groceries
2024-02-20,Croma Electronics,908.22,DEBIT,Shopping
2024-02-20,IKEA Navi Mumbai,381.64,DEBIT,Shopping
2024-02-20,Zomato order,220.21,DEBIT,Take-out
2024-02-20,Mumbai Metro recharge,191.26,DEBIT,Transport
2024-02-20,Indian Oil fuel,323.64,DEBIT,Transport
2024-02-20,Mahanagar Gas bill,334.53,DEBIT,Utilities
2024-02-21,DMart Andheri West,852.48,DEBIT,Groceries
2024-02-21,Flipkart order,372.19,DEBIT,Shopping
2024-02-21,Cafe Coffee Day,208.48,DEBIT,Take-out
2024-02-21,Mumbai Metro recharge,145.88,DEBIT,Transport
2024-02-21,Jio postpaid bill,412.75,DEBIT,Utilities
2024-02-22,Flipkart order,1513.68,DEBIT,Shopping
2024-02-22,Behrouz Biryani,558.52,DEBIT,Take-out
2024-02-22,Behrouz Biryani,351.22,DEBIT,Take-out
2024-02-22,Zomato order,437.05,DEBIT,Take-out
2024-02-22,Indian Oil fuel,402.49,DEBIT,Transport
2024-02-23,Reliance Fresh,785.03,DEBIT,Groceries
2024-02-23,BigBasket order,421.11,DEBIT,Groceries
2024-02-23,Reliance Fresh,302.99,DEBIT,Groceries
2024-02-23,More Supermarket,320.02,DEBIT,Groceries
2024-02-23,Nature's Basket,439.41,DEBIT,Groceries
2024-02-23,Behrouz Biryani,183.84,DEBIT,Take-out
2024-02-23,Water tax payment,557.07,DEBIT,Utilities
2024-02-23,Mahanagar Gas bill,315.96,DEBIT,Utilities
2024-02-24,DMart Andheri West,900.92,DEBIT,Groceries
2024-02-24,Fresh Fruits & Veg Co.,455.83,DEBIT,Groceries
2024-02-24,Myntra order,1356.90,DEBIT,Shopping
2024-02-24,Myntra order,986.58,DEBIT,Shopping
2024-02-24,Cafe Coffee Day,270.91,DEBIT,Take-out
2024-02-24,Airtel Fibre broadband,569.09,DEBIT,Utilities
2024-02-24,Mahanagar Gas bill,228.72,DEBIT,Utilities
2024-02-24,Water tax payment,291.72,DEBIT,Utilities
2024-02-25,PVR Cinemas,274.87,DEBIT,Entertainment
2024-02-25,More Supermarket,664.48,DEBIT,Groceries
2024-02-25,Reliance Fresh,267.40,DEBIT,Groceries
2024-02-25,BigBasket order,520.51,DEBIT,Groceries
2024-02-25,Ola Cabs,395.65,DEBIT,Transport
2024-02-25,Jio postpaid bill,423.37,DEBIT,Utilities
2024-02-25,Mahanagar Gas bill,578.15,DEBIT,Utilities
2024-02-25,Airtel Fibre broadband,300.19,DEBIT,Utilities
2024-02-26,PVR Cinemas,108.45,DEBIT,Entertainment
2024-02-26,Netflix subscription,439.30,DEBIT,Entertainment
2024-02-26,More Supermarket,572.79,DEBIT,Groceries
2024-02-26,Behrouz Biryani,123.92,DEBIT,Take-out
2024-02-26,Starbucks Powai,489.24,DEBIT,Take-out
2024-02-26,Swiggy order,480.67,DEBIT,Take-out
2024-02-27,Fresh Fruits & Veg Co.,686.86,DEBIT,Groceries
2024-02-27,Amazon.in order,741.44,DEBIT,Shopping
2024-02-27,Croma Electronics,1082.83,DEBIT,Shopping
2024-02-27,Amazon.in order,874.07,DEBIT,Shopping
2024-02-27,Dominos Pizza,221.75,DEBIT,Take-out
2024-02-27,Dominos Pizza,207.35,DEBIT,Take-out
2024-02-27,Mumbai Metro recharge,421.87,DEBIT,Transport
2024-02-27,Uber ride,335.52,DEBIT,Transport
2024-02-28,Steam games purchase,575.15,DEBIT,Entertainment
2024-02-28,More Supermarket,469.38,DEBIT,Groceries
2024-02-28,Fresh Fruits & Veg Co.,727.16,DEBIT,Groceries
2024-02-28,Flipkart order,1795.62,DEBIT,Shopping
2024-02-28,Starbucks Powai,323.64,DEBIT,Take-out
2024-02-28,Indian Oil fuel,173.85,DEBIT,Transport
2024-02-29,Spotify Premium,176.86,DEBIT,Entertainment
2024-02-29,Reliance Fresh,693.23,DEBIT,Groceries
2024-02-29,BigBasket order,890.80,DEBIT,Groceries
2024-02-29,BigBasket order,759.36,DEBIT,Groceries
2024-02-29,Reliance Fresh,623.94,DEBIT,Groceries
2024-02-29,BigBasket order,409.99,DEBIT,Groceries
2024-02-29,Salary credited from Cyphersol Technologies,172000.00,CREDIT,Salary
2024-02-29,IKEA Navi Mumbai,1337.11,DEBIT,Shopping
2024-02-29,Swiggy order,140.38,DEBIT,Take-out
2024-03-01,Netflix subscription,212.04,DEBIT,Entertainment
2024-03-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2024-03-01,IKEA Navi Mumbai,1858.71,DEBIT,Shopping
2024-03-01,Behrouz Biryani,146.23,DEBIT,Take-out
2024-03-01,Uber ride,216.87,DEBIT,Transport
2024-03-01,HP Petrol Pump,234.42,DEBIT,Transport
2024-03-01,Ola Cabs,229.07,DEBIT,Transport
2024-03-01,CityFlo monthly pass,111.90,DEBIT,Transport
2024-03-01,Mahanagar Gas bill,897.39,DEBIT,Utilities
2024-03-02,Steam games purchase,497.12,DEBIT,Entertainment
2024-03-02,Spotify Premium,328.74,DEBIT,Entertainment
2024-03-02,Reliance Fresh,374.42,DEBIT,Groceries
2024-03-02,DMart Andheri West,532.92,DEBIT,Groceries
2024-03-02,BigBasket order,656.07,DEBIT,Groceries
2024-03-02,Decathlon Powai,1861.79,DEBIT,Shopping
2024-03-02,Uber ride,269.14,DEBIT,Transport
2024-03-02,HP Petrol Pump,190.67,DEBIT,Transport
2024-03-03,Steam games purchase,350.17,DEBIT,Entertainment
2024-03-03,Reliance Fresh,595.53,DEBIT,Groceries
2024-03-03,Zomato order,513.74,DEBIT,Take-out
2024-03-03,Zomato order,160.70,DEBIT,Take-out
